test_id,timestamp,num_clusters,num_nodes,num_pods,elapsed,total_queries,throughput,query_name,desc,num_hops,db_name
Cxq6n,2025-04-15T19:56:40Z,1,9,461,60.00045008300003,27266,454.42992448027144,get_pod_replicaset_label_for_specific_pod,10-nodes-with-50-pods,2,neo4j
Cxq6n,2025-04-15T19:57:55Z,1,9,461,60.00221799999963,24118,401.95180784817234,get_pod_replicaset_annotation_for_specific_pod,10-nodes-with-50-pods,2,neo4j
Cxq6n,2025-04-15T19:59:10Z,1,9,461,60.000011207999705,28026,467.0999127457386,get_pod_deployment_label_for_specific_pod,10-nodes-with-50-pods,3,neo4j
Cxq6n,2025-04-15T20:00:25Z,1,9,461,60.00087050000002,24192,403.19415032486893,get_pod_deployment_annotation_for_specific_pod,10-nodes-with-50-pods,3,neo4j
Cxq6n,2025-04-15T20:01:40Z,1,9,461,60.00093695899977,11416,190.26369551196933,get_pods_for_replicaset,10-nodes-with-50-pods,1,neo4j
Cxq6n,2025-04-15T20:02:55Z,1,9,461,60.00091033299941,39097,651.6067803474201,get_deployment_for_replicaset,10-nodes-with-50-pods,1,neo4j
Cxq6n,2025-04-15T20:04:11Z,1,9,461,60.00511208300031,5953,99.2082139895962,get_pod_labels_for_replicaset,10-nodes-with-50-pods,2,neo4j
Cxq6n,2025-04-15T20:05:28Z,1,9,461,60.00709300000017,2628,43.79482272204042,get_pod_annotations_for_replicaset,10-nodes-with-50-pods,2,neo4j
Cxq6n,2025-04-15T20:06:44Z,1,9,461,60.001844999999776,9321,155.3452231343892,get_pod_container_for_replicaset,10-nodes-with-50-pods,2,neo4j
Cxq6n,2025-04-15T20:07:59Z,1,9,461,60.00040883299971,39061,651.0122307452809,get_deployment_label_for_replicaset,10-nodes-with-50-pods,3,neo4j
Cxq6n,2025-04-15T20:09:14Z,1,9,461,60.000099125000816,34841,580.6823739976534,get_deployment_annotation_for_replicaset,10-nodes-with-50-pods,3,neo4j
JiX2p,2025-04-15T20:28:08Z,1,9,461,60.000201291999474,34769,579.4813892505416,test_get_all_nodes,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:29:24Z,1,9,461,60.00391099999979,9958,165.955849111236,test_get_all_node_annotations,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:30:39Z,1,9,461,60.00104058299985,10063,167.71375799857643,test_get_all_node_labels,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:31:54Z,1,9,461,60.00041487499948,32597,543.2795767814312,test_get_all_node_taint,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:33:13Z,1,9,461,60.016665708999426,1310,21.82727055101242,test_get_all_nodes_pods,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T20:34:38Z,1,9,461,60.02484787499998,601,10.01252016917336,test_get_all_pods_labels,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T20:36:04Z,1,9,461,60.04488033399957,554,9.226431910903573,test_get_all_pods_annotations,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T20:37:25Z,1,9,461,60.00218529100039,1073,17.88268201893202,test_get_all_pods_containers,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T20:38:45Z,1,9,461,60.03582920900044,1076,17.922630771937243,test_get_all_pods_replicasets,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T20:40:12Z,1,9,461,60.06790312500016,501,8.340560830922108,test_get_all_pods_replicasets_labels,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T20:41:40Z,1,9,461,60.05818691600052,465,7.7424914716517375,test_get_all_pods_replicasets_annotations,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T20:43:02Z,1,9,461,60.0426209999996,891,14.839458790448305,test_get_all_pods_deployments,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T20:44:16Z,1,9,461,60.00131820800016,39699,661.635463780641,test_get_all_pods_images,10-nodes-with-50-pods,4,memgraph
JiX2p,2025-04-15T20:45:47Z,1,9,461,60.13868558299964,388,6.451753912454683,test_get_all_pods_deployments_annotations,10-nodes-with-50-pods,5,memgraph
JiX2p,2025-04-15T20:47:09Z,1,9,461,60.04602116699971,826,13.756115458553577,test_get_all_pods_deployments_labels,10-nodes-with-50-pods,5,memgraph
JiX2p,2025-04-15T20:48:24Z,1,9,461,60.00318241599962,10485,174.74073170499395,test_get_pods_for_specific_node,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:49:39Z,1,9,461,60.00041029199929,38526,642.0956092218127,get_labels_for_specific_node,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:50:54Z,1,9,461,60.00092887500068,59788,996.4512403558906,get_taint_for_specific_node,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:52:08Z,1,9,461,60.001013415998386,37747,629.1060408978913,get_annotation_for_specific_node,10-nodes-with-50-pods,1,memgraph
JiX2p,2025-04-15T20:53:24Z,1,9,461,60.0007580420006,5301,88.34888379725626,get_pod_labels_for_specific_node,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T20:54:41Z,1,9,461,60.018373958000666,2294,38.22162862334929,get_pod_annotations_for_specific_node,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T20:55:57Z,1,9,461,60.00537299999996,8616,143.58714177145444,get_pod_container_for_specific_node,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T20:57:12Z,1,9,461,60.00562141699993,8594,143.2199150189164,get_pod_replicaset_for_specific_node,10-nodes-with-50-pods,2,memgraph
JiX2p,2025-04-15T20:58:27Z,1,9,461,60.006304832999376,7403,123.37036950705311,get_pod_deployment_for_specific_node,10-nodes-with-50-pods,3,memgraph
JiX2p,2025-04-15T20:59:43Z,1,9,461,60.002111707999575,4468,74.46404589464339,get_pod_replicaset_label_for_specific_node,10-nodes-with-50-pods,3,memgraph
